(blosclz, comp 0, no-shuffle) Time: 8204 ms, size 2452909560 bytes
(blosclz, comp 0, no-shuffle) Time: 7072 ms, size 2452909560 bytes
(blosclz, comp 0, no-shuffle) Time: 8568 ms, size 2452909560 bytes
(blosclz, comp 0, byte-shuffle) Time: 8754 ms, size 2452909560 bytes
(blosclz, comp 0, byte-shuffle) Time: 8805 ms, size 2452909560 bytes
(blosclz, comp 0, byte-shuffle) Time: 8766 ms, size 2452909560 bytes
(blosclz, comp 0, bit-shuffle) Time: 8924 ms, size 2452909560 bytes
(blosclz, comp 0, bit-shuffle) Time: 8621 ms, size 2452909560 bytes
(blosclz, comp 0, bit-shuffle) Time: 8544 ms, size 2452909560 bytes
(blosclz, comp 1, no-shuffle) Time: 7144 ms, size 1738257981 bytes
(blosclz, comp 1, no-shuffle) Time: 9833 ms, size 1738257981 bytes
(blosclz, comp 1, no-shuffle) Time: 9745 ms, size 1738257981 bytes
(blosclz, comp 1, byte-shuffle) Time: 8700 ms, size 969031268 bytes
(blosclz, comp 1, byte-shuffle) Time: 7835 ms, size 969031268 bytes
(blosclz, comp 1, byte-shuffle) Time: 8286 ms, size 969031268 bytes
(blosclz, comp 1, bit-shuffle) Time: 8248 ms, size 740784192 bytes
(blosclz, comp 1, bit-shuffle) Time: 8228 ms, size 740784192 bytes
(blosclz, comp 1, bit-shuffle) Time: 8251 ms, size 740784192 bytes
(blosclz, comp 2, no-shuffle) Time: 14928 ms, size 1132700882 bytes
(blosclz, comp 2, no-shuffle) Time: 13751 ms, size 1132700882 bytes
(blosclz, comp 2, no-shuffle) Time: 14958 ms, size 1132700882 bytes
(blosclz, comp 2, byte-shuffle) Time: 9632 ms, size 897043503 bytes
(blosclz, comp 2, byte-shuffle) Time: 9739 ms, size 897043503 bytes
(blosclz, comp 2, byte-shuffle) Time: 9685 ms, size 897043503 bytes
(blosclz, comp 2, bit-shuffle) Time: 9949 ms, size 653265363 bytes
(blosclz, comp 2, bit-shuffle) Time: 9899 ms, size 653265363 bytes
(blosclz, comp 2, bit-shuffle) Time: 9942 ms, size 653265363 bytes
(blosclz, comp 3, no-shuffle) Time: 12984 ms, size 1072901325 bytes
(blosclz, comp 3, no-shuffle) Time: 14866 ms, size 1072901325 bytes
(blosclz, comp 3, no-shuffle) Time: 15537 ms, size 1072901325 bytes
(blosclz, comp 3, byte-shuffle) Time: 12368 ms, size 833454562 bytes
(blosclz, comp 3, byte-shuffle) Time: 12484 ms, size 833454562 bytes
(blosclz, comp 3, byte-shuffle) Time: 11638 ms, size 833454562 bytes
(blosclz, comp 3, bit-shuffle) Time: 10304 ms, size 648475447 bytes
(blosclz, comp 3, bit-shuffle) Time: 10160 ms, size 648475447 bytes
(blosclz, comp 3, bit-shuffle) Time: 9583 ms, size 648475447 bytes
(blosclz, comp 4, no-shuffle) Time: 14526 ms, size 1070879980 bytes
(blosclz, comp 4, no-shuffle) Time: 12740 ms, size 1070879980 bytes
(blosclz, comp 4, no-shuffle) Time: 14790 ms, size 1070879980 bytes
(blosclz, comp 4, byte-shuffle) Time: 9781 ms, size 818411864 bytes
(blosclz, comp 4, byte-shuffle) Time: 8640 ms, size 818411864 bytes
(blosclz, comp 4, byte-shuffle) Time: 9497 ms, size 818411864 bytes
(blosclz, comp 4, bit-shuffle) Time: 10418 ms, size 637316729 bytes
(blosclz, comp 4, bit-shuffle) Time: 9215 ms, size 637316729 bytes
(blosclz, comp 4, bit-shuffle) Time: 10501 ms, size 637316729 bytes
(blosclz, comp 5, no-shuffle) Time: 14574 ms, size 1070879980 bytes
(blosclz, comp 5, no-shuffle) Time: 13976 ms, size 1070879980 bytes
(blosclz, comp 5, no-shuffle) Time: 14708 ms, size 1070879980 bytes
(blosclz, comp 5, byte-shuffle) Time: 8705 ms, size 818411864 bytes
(blosclz, comp 5, byte-shuffle) Time: 9649 ms, size 818411864 bytes
(blosclz, comp 5, byte-shuffle) Time: 9511 ms, size 818411864 bytes
(blosclz, comp 5, bit-shuffle) Time: 9319 ms, size 637316729 bytes
(blosclz, comp 5, bit-shuffle) Time: 9927 ms, size 637316729 bytes
(blosclz, comp 5, bit-shuffle) Time: 9918 ms, size 637316729 bytes
(blosclz, comp 6, no-shuffle) Time: 12695 ms, size 1070791618 bytes
(blosclz, comp 6, no-shuffle) Time: 14733 ms, size 1070791618 bytes
(blosclz, comp 6, no-shuffle) Time: 14559 ms, size 1070791618 bytes
(blosclz, comp 6, byte-shuffle) Time: 9578 ms, size 828206717 bytes
(blosclz, comp 6, byte-shuffle) Time: 9625 ms, size 828206717 bytes
(blosclz, comp 6, byte-shuffle) Time: 9726 ms, size 828206717 bytes
(blosclz, comp 6, bit-shuffle) Time: 10514 ms, size 640652569 bytes
(blosclz, comp 6, bit-shuffle) Time: 10646 ms, size 640652569 bytes
(blosclz, comp 6, bit-shuffle) Time: 10615 ms, size 640652569 bytes
(blosclz, comp 7, no-shuffle) Time: 14509 ms, size 1070791618 bytes
(blosclz, comp 7, no-shuffle) Time: 14558 ms, size 1070791618 bytes
(blosclz, comp 7, no-shuffle) Time: 14652 ms, size 1070791618 bytes
(blosclz, comp 7, byte-shuffle) Time: 10304 ms, size 812756387 bytes
(blosclz, comp 7, byte-shuffle) Time: 9043 ms, size 812756387 bytes
(blosclz, comp 7, byte-shuffle) Time: 10168 ms, size 812756387 bytes
(blosclz, comp 7, bit-shuffle) Time: 10334 ms, size 639567249 bytes
(blosclz, comp 7, bit-shuffle) Time: 9276 ms, size 639567249 bytes
(blosclz, comp 7, bit-shuffle) Time: 9668 ms, size 639567249 bytes
(blosclz, comp 8, no-shuffle) Time: 14534 ms, size 1070791618 bytes
(blosclz, comp 8, no-shuffle) Time: 13610 ms, size 1070791618 bytes
(blosclz, comp 8, no-shuffle) Time: 14357 ms, size 1070791618 bytes
(blosclz, comp 8, byte-shuffle) Time: 10016 ms, size 796574331 bytes
(blosclz, comp 8, byte-shuffle) Time: 11371 ms, size 796574331 bytes
(blosclz, comp 8, byte-shuffle) Time: 11215 ms, size 796574331 bytes
(blosclz, comp 8, bit-shuffle) Time: 9334 ms, size 631673095 bytes
(blosclz, comp 8, bit-shuffle) Time: 9912 ms, size 631673095 bytes
(blosclz, comp 8, bit-shuffle) Time: 10352 ms, size 631673095 bytes
(blosclz, comp 9, no-shuffle) Time: 13498 ms, size 1070880215 bytes
(blosclz, comp 9, no-shuffle) Time: 14881 ms, size 1070880215 bytes
(blosclz, comp 9, no-shuffle) Time: 13080 ms, size 1070880215 bytes
(blosclz, comp 9, byte-shuffle) Time: 15185 ms, size 762267867 bytes
(blosclz, comp 9, byte-shuffle) Time: 15246 ms, size 762267867 bytes
(blosclz, comp 9, byte-shuffle) Time: 15300 ms, size 762267867 bytes
(blosclz, comp 9, bit-shuffle) Time: 10129 ms, size 629494360 bytes
(blosclz, comp 9, bit-shuffle) Time: 9934 ms, size 629494360 bytes
(blosclz, comp 9, bit-shuffle) Time: 10587 ms, size 629494360 bytes
(lz4hc, comp 0, no-shuffle) Time: 8401 ms, size 2452909560 bytes
(lz4hc, comp 0, no-shuffle) Time: 8580 ms, size 2452909560 bytes
(lz4hc, comp 0, no-shuffle) Time: 8966 ms, size 2452909560 bytes
(lz4hc, comp 0, byte-shuffle) Time: 8617 ms, size 2452909560 bytes
(lz4hc, comp 0, byte-shuffle) Time: 8624 ms, size 2452909560 bytes
(lz4hc, comp 0, byte-shuffle) Time: 8656 ms, size 2452909560 bytes
(lz4hc, comp 0, bit-shuffle) Time: 8680 ms, size 2452909560 bytes
(lz4hc, comp 0, bit-shuffle) Time: 8571 ms, size 2452909560 bytes
(lz4hc, comp 0, bit-shuffle) Time: 8543 ms, size 2452909560 bytes
(lz4hc, comp 1, no-shuffle) Time: 16735 ms, size 818649626 bytes
(lz4hc, comp 1, no-shuffle) Time: 16693 ms, size 818649626 bytes
(lz4hc, comp 1, no-shuffle) Time: 16812 ms, size 818649626 bytes
(lz4hc, comp 1, byte-shuffle) Time: 18560 ms, size 648542378 bytes
(lz4hc, comp 1, byte-shuffle) Time: 16515 ms, size 648542378 bytes
(lz4hc, comp 1, byte-shuffle) Time: 18389 ms, size 648542378 bytes
(lz4hc, comp 1, bit-shuffle) Time: 10468 ms, size 603662344 bytes
(lz4hc, comp 1, bit-shuffle) Time: 12401 ms, size 603662344 bytes
(lz4hc, comp 1, bit-shuffle) Time: 12632 ms, size 603662344 bytes
(lz4hc, comp 2, no-shuffle) Time: 14664 ms, size 797462701 bytes
(lz4hc, comp 2, no-shuffle) Time: 16189 ms, size 797462701 bytes
(lz4hc, comp 2, no-shuffle) Time: 14819 ms, size 797462701 bytes
(lz4hc, comp 2, byte-shuffle) Time: 16521 ms, size 635186634 bytes
(lz4hc, comp 2, byte-shuffle) Time: 16054 ms, size 635186634 bytes
(lz4hc, comp 2, byte-shuffle) Time: 16451 ms, size 635186634 bytes
(lz4hc, comp 2, bit-shuffle) Time: 11808 ms, size 600039100 bytes
(lz4hc, comp 2, bit-shuffle) Time: 11419 ms, size 600039100 bytes
(lz4hc, comp 2, bit-shuffle) Time: 10681 ms, size 600039100 bytes
(lz4hc, comp 3, no-shuffle) Time: 54338 ms, size 855466211 bytes
(lz4hc, comp 3, no-shuffle) Time: 53909 ms, size 855466211 bytes
(lz4hc, comp 3, no-shuffle) Time: 53789 ms, size 855466211 bytes
(lz4hc, comp 3, byte-shuffle) Time: 37371 ms, size 618977054 bytes
(lz4hc, comp 3, byte-shuffle) Time: 36571 ms, size 618977054 bytes
(lz4hc, comp 3, byte-shuffle) Time: 36893 ms, size 618977054 bytes
(lz4hc, comp 3, bit-shuffle) Time: 27139 ms, size 580540837 bytes
(lz4hc, comp 3, bit-shuffle) Time: 26606 ms, size 580540837 bytes
(lz4hc, comp 3, bit-shuffle) Time: 26713 ms, size 580540837 bytes
(lz4hc, comp 4, no-shuffle) Time: 70713 ms, size 792508246 bytes
(lz4hc, comp 4, no-shuffle) Time: 71137 ms, size 792508246 bytes
(lz4hc, comp 4, no-shuffle) Time: 70768 ms, size 792508246 bytes
(lz4hc, comp 4, byte-shuffle) Time: 45813 ms, size 595589811 bytes
(lz4hc, comp 4, byte-shuffle) Time: 45141 ms, size 595589811 bytes
(lz4hc, comp 4, byte-shuffle) Time: 45762 ms, size 595589811 bytes
(lz4hc, comp 4, bit-shuffle) Time: 30170 ms, size 576499411 bytes
(lz4hc, comp 4, bit-shuffle) Time: 29824 ms, size 576499411 bytes
(lz4hc, comp 4, bit-shuffle) Time: 30362 ms, size 576499411 bytes
(lz4hc, comp 5, no-shuffle) Time: 99977 ms, size 743008195 bytes
(lz4hc, comp 5, no-shuffle) Time: 100318 ms, size 743008195 bytes
(lz4hc, comp 5, no-shuffle) Time: 99899 ms, size 743008195 bytes
(lz4hc, comp 5, byte-shuffle) Time: 58558 ms, size 578233633 bytes
(lz4hc, comp 5, byte-shuffle) Time: 59038 ms, size 578233633 bytes
(lz4hc, comp 5, byte-shuffle) Time: 58934 ms, size 578233633 bytes
(lz4hc, comp 5, bit-shuffle) Time: 32447 ms, size 574188349 bytes
(lz4hc, comp 5, bit-shuffle) Time: 33470 ms, size 574188349 bytes
(lz4hc, comp 5, bit-shuffle) Time: 33036 ms, size 574188349 bytes
(lz4hc, comp 6, no-shuffle) Time: 146211 ms, size 705020710 bytes
(lz4hc, comp 6, no-shuffle) Time: 146277 ms, size 705020710 bytes
(lz4hc, comp 6, no-shuffle) Time: 147804 ms, size 705020710 bytes
(lz4hc, comp 6, byte-shuffle) Time: 77700 ms, size 565628427 bytes
(lz4hc, comp 6, byte-shuffle) Time: 77783 ms, size 565628427 bytes
(lz4hc, comp 6, byte-shuffle) Time: 77744 ms, size 565628427 bytes
(lz4hc, comp 6, bit-shuffle) Time: 37843 ms, size 572466354 bytes
(lz4hc, comp 6, bit-shuffle) Time: 37799 ms, size 572466354 bytes
(lz4hc, comp 6, bit-shuffle) Time: 37263 ms, size 572466354 bytes
(lz4hc, comp 7, no-shuffle) Time: 223530 ms, size 676734024 bytes
(lz4hc, comp 7, no-shuffle) Time: 223310 ms, size 676734024 bytes
(lz4hc, comp 7, no-shuffle) Time: 223243 ms, size 676734024 bytes
(lz4hc, comp 7, byte-shuffle) Time: 104910 ms, size 556992380 bytes
(lz4hc, comp 7, byte-shuffle) Time: 105189 ms, size 556992380 bytes
(lz4hc, comp 7, byte-shuffle) Time: 104867 ms, size 556992380 bytes
(lz4hc, comp 7, bit-shuffle) Time: 44984 ms, size 571190150 bytes
(lz4hc, comp 7, bit-shuffle) Time: 44525 ms, size 571190150 bytes
(lz4hc, comp 7, bit-shuffle) Time: 44987 ms, size 571190150 bytes
(lz4hc, comp 8, no-shuffle) Time: 354471 ms, size 655606873 bytes
(lz4hc, comp 8, no-shuffle) Time: 354359 ms, size 655606873 bytes
(lz4hc, comp 8, no-shuffle) Time: 355007 ms, size 655606873 bytes
(lz4hc, comp 8, byte-shuffle) Time: 142427 ms, size 551390119 bytes
(lz4hc, comp 8, byte-shuffle) Time: 142840 ms, size 551390119 bytes
(lz4hc, comp 8, byte-shuffle) Time: 142505 ms, size 551390119 bytes
(lz4hc, comp 8, bit-shuffle) Time: 56484 ms, size 570394852 bytes
(lz4hc, comp 8, bit-shuffle) Time: 56553 ms, size 570394852 bytes
(lz4hc, comp 8, bit-shuffle) Time: 56061 ms, size 570394852 bytes
(lz4hc, comp 9, no-shuffle) Time: 574603 ms, size 639995591 bytes
(lz4, comp 0, no-shuffle) Time: 3779 ms, size 2452909560 bytes
(lz4, comp 0, no-shuffle) Time: 9349 ms, size 2452909560 bytes
(lz4, comp 0, no-shuffle) Time: 9370 ms, size 2452909560 bytes
(lz4, comp 0, byte-shuffle) Time: 8935 ms, size 2452909560 bytes
(lz4, comp 0, byte-shuffle) Time: 8696 ms, size 2452909560 bytes
(lz4, comp 0, byte-shuffle) Time: 8698 ms, size 2452909560 bytes
(lz4, comp 0, bit-shuffle) Time: 8682 ms, size 2452909560 bytes
(lz4, comp 0, bit-shuffle) Time: 8448 ms, size 2452909560 bytes
(lz4, comp 0, bit-shuffle) Time: 8597 ms, size 2452909560 bytes
(lz4, comp 1, no-shuffle) Time: 12355 ms, size 1262443937 bytes
(lz4, comp 1, no-shuffle) Time: 11274 ms, size 1262443937 bytes
(lz4, comp 1, no-shuffle) Time: 12052 ms, size 1262443937 bytes
(lz4, comp 1, byte-shuffle) Time: 8186 ms, size 801418691 bytes
(lz4, comp 1, byte-shuffle) Time: 8014 ms, size 801418691 bytes
(lz4, comp 1, byte-shuffle) Time: 7508 ms, size 801418691 bytes
(lz4, comp 1, bit-shuffle) Time: 6505 ms, size 640597081 bytes
(lz4, comp 1, bit-shuffle) Time: 6497 ms, size 640597081 bytes
(lz4, comp 1, bit-shuffle) Time: 6499 ms, size 640597081 bytes
(lz4, comp 2, no-shuffle) Time: 10538 ms, size 1250848273 bytes
(lz4, comp 2, no-shuffle) Time: 12107 ms, size 1250848273 bytes
(lz4, comp 2, no-shuffle) Time: 12262 ms, size 1250848273 bytes
(lz4, comp 2, byte-shuffle) Time: 8078 ms, size 796151530 bytes
(lz4, comp 2, byte-shuffle) Time: 8241 ms, size 796151530 bytes
(lz4, comp 2, byte-shuffle) Time: 8311 ms, size 796151530 bytes
(lz4, comp 2, bit-shuffle) Time: 6553 ms, size 638425769 bytes
(lz4, comp 2, bit-shuffle) Time: 6421 ms, size 638425769 bytes
(lz4, comp 2, bit-shuffle) Time: 6564 ms, size 638425769 bytes
(lz4, comp 3, no-shuffle) Time: 11800 ms, size 1181001204 bytes
(lz4, comp 3, no-shuffle) Time: 10180 ms, size 1181001204 bytes
(lz4, comp 3, no-shuffle) Time: 11957 ms, size 1181001204 bytes
(lz4, comp 3, byte-shuffle) Time: 8323 ms, size 793753715 bytes
(lz4, comp 3, byte-shuffle) Time: 8027 ms, size 793753715 bytes
(lz4, comp 3, byte-shuffle) Time: 8331 ms, size 793753715 bytes
(lz4, comp 3, bit-shuffle) Time: 6613 ms, size 631467166 bytes
(lz4, comp 3, bit-shuffle) Time: 7027 ms, size 631467166 bytes
(lz4, comp 3, bit-shuffle) Time: 6744 ms, size 631467166 bytes
(lz4, comp 4, no-shuffle) Time: 10572 ms, size 973879456 bytes
(lz4, comp 4, no-shuffle) Time: 10637 ms, size 973879456 bytes
(lz4, comp 4, no-shuffle) Time: 10546 ms, size 973879456 bytes
(lz4, comp 4, byte-shuffle) Time: 7758 ms, size 768555903 bytes
(lz4, comp 4, byte-shuffle) Time: 7880 ms, size 768555903 bytes
(lz4, comp 4, byte-shuffle) Time: 7956 ms, size 768555903 bytes
(lz4, comp 4, bit-shuffle) Time: 7124 ms, size 626571734 bytes
(lz4, comp 4, bit-shuffle) Time: 7128 ms, size 626571734 bytes
(lz4, comp 4, bit-shuffle) Time: 7060 ms, size 626571734 bytes
(lz4, comp 5, no-shuffle) Time: 10847 ms, size 972901347 bytes
(lz4, comp 5, no-shuffle) Time: 9653 ms, size 972901347 bytes
(lz4, comp 5, no-shuffle) Time: 10718 ms, size 972901347 bytes
(lz4, comp 5, byte-shuffle) Time: 7991 ms, size 761919149 bytes
(lz4, comp 5, byte-shuffle) Time: 7823 ms, size 761919149 bytes
(lz4, comp 5, byte-shuffle) Time: 7975 ms, size 761919149 bytes
(lz4, comp 5, bit-shuffle) Time: 7156 ms, size 623672835 bytes
(lz4, comp 5, bit-shuffle) Time: 7021 ms, size 623672835 bytes
(lz4, comp 5, bit-shuffle) Time: 6961 ms, size 623672835 bytes
(lz4, comp 6, no-shuffle) Time: 10629 ms, size 957821134 bytes
(lz4, comp 6, no-shuffle) Time: 10742 ms, size 957821134 bytes
(lz4, comp 6, no-shuffle) Time: 10784 ms, size 957821134 bytes
(lz4, comp 6, byte-shuffle) Time: 8022 ms, size 751948197 bytes
(lz4, comp 6, byte-shuffle) Time: 8135 ms, size 751948197 bytes
(lz4, comp 6, byte-shuffle) Time: 7969 ms, size 751948197 bytes
(lz4, comp 6, bit-shuffle) Time: 6931 ms, size 621976853 bytes
(lz4, comp 6, bit-shuffle) Time: 7139 ms, size 621976853 bytes
(lz4, comp 6, bit-shuffle) Time: 6719 ms, size 621976853 bytes
(lz4, comp 7, no-shuffle) Time: 10916 ms, size 955447824 bytes
(lz4, comp 7, no-shuffle) Time: 9669 ms, size 955447824 bytes
(lz4, comp 7, no-shuffle) Time: 10737 ms, size 955447824 bytes
(lz4, comp 7, byte-shuffle) Time: 7954 ms, size 741724684 bytes
(lz4, comp 7, byte-shuffle) Time: 7935 ms, size 741724684 bytes
(lz4, comp 7, byte-shuffle) Time: 8239 ms, size 741724684 bytes
(lz4, comp 7, bit-shuffle) Time: 6772 ms, size 619335494 bytes
(lz4, comp 7, bit-shuffle) Time: 7125 ms, size 619335494 bytes
(lz4, comp 7, bit-shuffle) Time: 6947 ms, size 619335494 bytes
(lz4, comp 8, no-shuffle) Time: 10754 ms, size 941548408 bytes
(lz4, comp 8, no-shuffle) Time: 10905 ms, size 941548408 bytes
(lz4, comp 8, no-shuffle) Time: 10909 ms, size 941548408 bytes
(lz4, comp 8, byte-shuffle) Time: 8723 ms, size 728313197 bytes
(lz4, comp 8, byte-shuffle) Time: 8561 ms, size 728313197 bytes
